,pays,code_pays,annee,nb_personnes
0,Afghanistan,2,2013,7900000.0
5,Afrique du Sud,202,2013,2600000.0
10,Albanie,3,2013,200000.0
15,Algérie,4,2013,1700000.0
20,Allemagne,79,2013,0.0
25,Andorre,6,2013,0.0
30,Angola,7,2013,8100000.0
35,Antigua-et-Barbuda,8,2013,0.0
40,Arabie saoudite,194,2013,1600000.0
45,Argentine,9,2013,1500000.0
50,Arménie,1,2013,100000.0
55,Australie,10,2013,0.0
60,Autriche,11,2013,0.0
65,Azerbaïdjan,52,2013,0.0
70,Bahamas,12,2013,0.0
75,Bahreïn,13,2013,0.0
80,Bangladesh,16,2013,26100000.0
85,Barbade,14,2013,0.0
90,Bélarus,57,2013,0.0
95,Belgique,255,2013,0.0
100,Belize,23,2013,0.0
105,Bénin,53,2013,1000000.0
110,Bermudes,17,2013,0.0
115,Bhoutan,18,2013,0.0
120,Bolivie (État plurinational de),19,2013,2200000.0
125,Bosnie-Herzégovine,80,2013,0.0
130,Botswana,20,2013,500000.0
135,Brésil,21,2013,0.0
140,Brunéi Darussalam,26,2013,0.0
145,Bulgarie,27,2013,400000.0
150,Burkina Faso,233,2013,3400000.0
155,Burundi,29,2013,0.0
160,Cabo Verde,35,2013,0.0
165,Cambodge,115,2013,2800000.0
170,Cameroun,32,2013,1700000.0
175,Canada,33,2013,0.0
180,Chili,40,2013,600000.0
190,Chine - RAS de Hong-Kong,96,2013,0.0
195,Chine - RAS de Macao,128,2013,0.0
200,"Chine, continentale",41,2013,136600000.0
205,"Chine, Taiwan Province de",214,2013,1000000.0
210,Chypre,50,2013,0.0
215,Colombie,44,2013,4099999.9999999995
220,Comores,45,2013,0.0
225,Congo,46,2013,1800000.0
230,Costa Rica,48,2013,300000.0
235,Côte d'Ivoire,107,2013,4700000.0
240,Croatie,98,2013,0.0
245,Cuba,49,2013,0.0
250,Danemark,54,2013,0.0
255,Djibouti,72,2013,200000.0
260,Dominique,55,2013,0.0
265,Égypte,59,2013,3900000.0
270,El Salvador,60,2013,700000.0
275,Émirats arabes unis,225,2013,400000.0
280,Équateur,58,2013,1300000.0
285,Érythrée,178,2013,0.0
290,Espagne,203,2013,0.0
295,Estonie,63,2013,0.0
300,Eswatini,209,2013,300000.0
305,États-Unis d'Amérique,231,2013,0.0
310,Éthiopie,238,2013,25300000.0
315,Fédération de Russie,185,2013,0.0
320,Fidji,66,2013,0.0
325,Finlande,67,2013,0.0
330,France,68,2013,0.0
335,Gabon,74,2013,200000.0
340,Gambie,75,2013,200000.0
345,Géorgie,73,2013,300000.0
350,Ghana,81,2013,1600000.0
355,Grèce,84,2013,0.0
360,Grenade,86,2013,0.0
365,Groenland,85,2013,0.0
370,Guatemala,89,2013,2500000.0
375,Guinée,90,2013,1800000.0
380,Guinée équatoriale,61,2013,0.0
385,Guinée-Bissau,175,2013,400000.0
390,Guyana,91,2013,0.0
395,Haïti,93,2013,5200000.0
400,Honduras,95,2013,1300000.0
405,Hongrie,97,2013,0.0
410,Îles Cook,47,2013,0.0
415,Îles Marshall,127,2013,0.0
420,Îles Salomon,25,2013,0.0
425,Inde,100,2013,216300000.0
